Model_Name,Country,Sales_Month,Sales_Year,Units_Sold
iPhone 1,USA,01,2007,104
iPhone 1,China,01,2007,135
iPhone 1,India,01,2007,72
iPhone 1,UK,01,2007,52
iPhone 1,Germany,01,2007,41
iPhone 1,USA,02,2007,103
iPhone 1,China,02,2007,133
iPhone 1,India,02,2007,72
iPhone 1,UK,02,2007,51
iPhone 1,Germany,02,2007,41
iPhone 1,USA,03,2007,96
iPhone 1,China,03,2007,124
iPhone 1,India,03,2007,67
iPhone 1,UK,03,2007,48
iPhone 1,Germany,03,2007,38
iPhone 1,USA,04,2007,104
iPhone 1,China,04,2007,135
iPhone 1,India,04,2007,72
iPhone 1,UK,04,2007,52
iPhone 1,Germany,04,2007,41
iPhone 1,USA,05,2007,102
iPhone 1,China,05,2007,132
iPhone 1,India,05,2007,71
iPhone 1,UK,05,2007,51
iPhone 1,Germany,05,2007,40
iPhone 1,USA,06,2007,99
iPhone 1,China,06,2007,128
iPhone 1,India,06,2007,69
iPhone 1,UK,06,2007,49
iPhone 1,Germany,06,2007,39
iPhone 1,USA,07,2007,98
iPhone 1,China,07,2007,127
iPhone 1,India,07,2007,68
iPhone 1,UK,07,2007,49
iPhone 1,Germany,07,2007,39
iPhone 1,USA,08,2007,101
iPhone 1,China,08,2007,131
iPhone 1,India,08,2007,70
iPhone 1,UK,08,2007,50
iPhone 1,Germany,08,2007,40
iPhone 1,USA,09,2007,104
iPhone 1,China,09,2007,135
iPhone 1,India,09,2007,72
iPhone 1,UK,09,2007,52
iPhone 1,Germany,09,2007,41
iPhone 1,USA,10,2007,130
iPhone 1,China,10,2007,169
iPhone 1,India,10,2007,91
iPhone 1,UK,10,2007,65
iPhone 1,Germany,10,2007,52
iPhone 1,USA,11,2007,130
iPhone 1,China,11,2007,169
iPhone 1,India,11,2007,91
iPhone 1,UK,11,2007,65
iPhone 1,Germany,11,2007,52
iPhone 1,USA,12,2007,132
iPhone 1,China,12,2007,171
iPhone 1,India,12,2007,92
iPhone 1,UK,12,2007,66
iPhone 1,Germany,12,2007,52
iPhone 1,USA,01,2008,88
iPhone 1,China,01,2008,114
iPhone 1,India,01,2008,61
iPhone 1,UK,01,2008,44
iPhone 1,Germany,01,2008,35
iPhone 1,USA,02,2008,84
iPhone 1,China,02,2008,109
iPhone 1,India,02,2008,58
iPhone 1,UK,02,2008,42
iPhone 1,Germany,02,2008,33
iPhone 1,USA,03,2008,85
iPhone 1,China,03,2008,110
iPhone 1,India,03,2008,59
iPhone 1,UK,03,2008,42
iPhone 1,Germany,03,2008,34
iPhone 1,USA,04,2008,84
iPhone 1,China,04,2008,109
iPhone 1,India,04,2008,58
iPhone 1,UK,04,2008,42
iPhone 1,Germany,04,2008,33
iPhone 1,USA,05,2008,80
iPhone 1,China,05,2008,104
iPhone 1,India,05,2008,56
iPhone 1,UK,05,2008,40
iPhone 1,Germany,05,2008,32
iPhone 1,USA,06,2008,85
iPhone 1,China,06,2008,110
iPhone 1,India,06,2008,59
iPhone 1,UK,06,2008,42
iPhone 1,Germany,06,2008,34
iPhone 1,USA,07,2008,85
iPhone 1,China,07,2008,110
iPhone 1,India,07,2008,59
iPhone 1,UK,07,2008,42
iPhone 1,Germany,07,2008,34
iPhone 1,USA,08,2008,87
iPhone 1,China,08,2008,113
iPhone 1,India,08,2008,60
iPhone 1,UK,08,2008,43
iPhone 1,Germany,08,2008,34
iPhone 1,USA,09,2008,83
iPhone 1,China,09,2008,107
iPhone 1,India,09,2008,58
iPhone 1,UK,09,2008,41
iPhone 1,Germany,09,2008,33
iPhone 1,USA,10,2008,110
iPhone 1,China,10,2008,143
iPhone 1,India,10,2008,77
iPhone 1,UK,10,2008,55
iPhone 1,Germany,10,2008,44
iPhone 1,USA,11,2008,110
iPhone 1,China,11,2008,143
iPhone 1,India,11,2008,77
iPhone 1,UK,11,2008,55
iPhone 1,Germany,11,2008,44
iPhone 1,USA,12,2008,108
iPhone 1,China,12,2008,140
iPhone 1,India,12,2008,75
iPhone 1,UK,12,2008,54
iPhone 1,Germany,12,2008,43
iPhone 1,USA,01,2009,67
iPhone 1,China,01,2009,87
iPhone 1,India,01,2009,46
iPhone 1,UK,01,2009,33
iPhone 1,Germany,01,2009,26
iPhone 1,USA,02,2009,71
iPhone 1,China,02,2009,92
iPhone 1,India,02,2009,49
iPhone 1,UK,02,2009,35
iPhone 1,Germany,02,2009,28
iPhone 1,USA,03,2009,73
iPhone 1,China,03,2009,94
iPhone 1,India,03,2009,51
iPhone 1,UK,03,2009,36
iPhone 1,Germany,03,2009,29
iPhone 1,USA,04,2009,73
iPhone 1,China,04,2009,94
iPhone 1,India,04,2009,51
iPhone 1,UK,04,2009,36
iPhone 1,Germany,04,2009,29
iPhone 1,USA,05,2009,69
iPhone 1,China,05,2009,89
iPhone 1,India,05,2009,48
iPhone 1,UK,05,2009,34
iPhone 1,Germany,05,2009,27
iPhone 1,USA,06,2009,72
iPhone 1,China,06,2009,93
iPhone 1,India,06,2009,50
iPhone 1,UK,06,2009,36
iPhone 1,Germany,06,2009,28
iPhone 1,USA,07,2009,66
iPhone 1,China,07,2009,85
