request_id,customer_id,product_name,product_category,issue_category,issue_description,request_date,status,resolution_date,priority,assigned_technician
4001,1001,iPhone 14 Pro,iPhone,Hardware,Screen cracking issue after minor drop,2023-02-15,Resolved,2023-02-18,High,Tech_001
4002,1002,iPad Air,iPad,Software,App crashes frequently when using Safari,2023-02-20,Resolved,2023-02-22,Medium,Tech_002
4003,1003,MacBook Air,Mac,Hardware,Keyboard keys sticking intermittently,2023-03-01,Resolved,2023-03-05,Medium,Tech_003
4004,1004,Apple Watch Series 8,Watch,Battery,Battery draining faster than expected,2023-03-10,Resolved,2023-03-12,Low,Tech_004
4005,1005,AirPods Pro,AirPods,Audio,Left earbud producing distorted sound,2023-03-15,Resolved,2023-03-17,High,Tech_005
4006,1006,iPhone 14,iPhone,Connectivity,WiFi connection drops frequently,2023-03-20,Resolved,2023-03-25,Medium,Tech_001
4007,1007,iPad Pro,iPad,Display,Screen flickering during video playback,2023-04-01,Resolved,2023-04-05,High,Tech_002
4008,1008,MacBook Pro,Mac,Performance,System running very slow after update,2023-04-10,Resolved,2023-04-15,Medium,Tech_003
4009,1009,Apple TV 4K,Apple TV,Software,Remote control not responding properly,2023-04-15,Resolved,2023-04-18,Low,Tech_004
4010,1010,iPhone 14 Plus,iPhone,Camera,Camera app freezing when taking photos,2023-04-20,Resolved,2023-04-25,High,Tech_005
4011,1011,iPad mini,iPad,Touch,Touch screen not responding in corner areas,2023-05-01,Resolved,2023-05-05,High,Tech_001
4012,1012,MacBook Air,Mac,Hardware,Fan making unusual noise during operation,2023-05-10,Resolved,2023-05-15,Medium,Tech_002
4013,1013,Apple Watch SE,Watch,Fitness,Heart rate sensor giving inaccurate readings,2023-05-15,Resolved,2023-05-20,Medium,Tech_003
4014,1014,iPhone 14 Pro Max,iPhone,Battery,Phone shuts down unexpectedly at 20% battery,2023-05-20,Resolved,2023-05-25,High,Tech_004
4015,1015,AirPods,AirPods,Connectivity,Bluetooth connection keeps dropping,2023-06-01,Resolved,2023-06-05,Medium,Tech_005
4016,1016,iPad Air,iPad,Software,iOS update failed and device won't start,2023-06-10,Resolved,2023-06-15,High,Tech_001
