date_key,full_date,year,quarter,quarter_name,month,month_name,week_of_year,week_start_date,week_end_date,day_of_week,day_name,is_weekend
20230101, 2023-01-01, 2023,1,Q1,1,January,1,2023-01-01,2023-01-07,1,Sunday,TRUE
20230102, 2023-01-02, 2023,1,Q1,1,January,1,2023-01-01,2023-01-07,2,Monday,FALSE
20230103, 2023-01-03, 2023,1,Q1,1,January,1,2023-01-01,2023-01-07,3,Tuesday,FALSE
20230108, 2023-01-08, 2023,1,Q1,1,January,2,2023-01-08,2023-01-14,1,Sunday,TRUE
20230115, 2023-01-15, 2023,1,Q1,1,January,3,2023-01-15,2023-01-21,1,Sunday,TRUE
20230122, 2023-01-22, 2023,1,Q1,1,January,4,2023-01-22,2023-01-28,1,Sunday,TRUE
20230129, 2023-01-29, 2023,1,Q1,1,January,5,2023-01-29,2023-02-04,1,Sunday,TRUE
20230205, 2023-02-05, 2023,1,Q1,2,February,6,2023-02-05,2023-02-11,1,Sunday,TRUE
20230212, 2023-02-12, 2023,1,Q1,2,February,7,2023-02-12,2023-02-18,1,Sunday,TRUE
20230219, 2023-02-19, 2023,1,Q1,2,February,8,2023-02-19,2023-02-25,1,Sunday,TRUE
20230226, 2023-02-26, 2023,1,Q1,2,February,9,2023-02-26,2023-03-04,1,Sunday,TRUE
20230305, 2023-03-05, 2023,1,Q1,3,March,10,2023-03-05,2023-03-11,1,Sunday,TRUE
20230312, 2023-03-12, 2023,1,Q1,3,March,11,2023-03-12,2023-03-18,1,Sunday,TRUE
20230319, 2023-03-19, 2023,1,Q1,3,March,12,2023-03-19,2023-03-25,1,Sunday,TRUE
20230326, 2023-03-26, 2023,1,Q1,3,March,13,2023-03-26,2023-04-01,1,Sunday,TRUE
20230402, 2023-04-02, 2023,2,Q2,4,April,14,2023-04-02,2023-04-08,1,Sunday,TRUE
20230409, 2023-04-09, 2023,2,Q2,4,April,15,2023-04-09,2023-04-15,1,Sunday,TRUE
20230416, 2023-04-16, 2023,2,Q2,4,April,16,2023-04-16,2023-04-22,1,Sunday,TRUE
20230423, 2023-04-23, 2023,2,Q2,4,April,17,2023-04-23,2023-04-29,1,Sunday,TRUE
20230430, 2023-04-30, 2023,2,Q2,4,April,18,2023-04-30,2023-05-06,1,Sunday,TRUE
20230507, 2023-05-07, 2023,2,Q2,5,May,19,2023-05-07,2023-05-13,1,Sunday,TRUE
20230514, 2023-05-14, 2023,2,Q2,5,May,20,2023-05-14,2023-05-20,1,Sunday,TRUE
20230521, 2023-05-21, 2023,2,Q2,5,May,21,2023-05-21,2023-05-27,1,Sunday,TRUE
20230528, 2023-05-28, 2023,2,Q2,5,May,22,2023-05-28,2023-06-03,1,Sunday,TRUE
20230604, 2023-06-04, 2023,2,Q2,6,June,23,2023-06-04,2023-06-10,1,Sunday,TRUE
20230611, 2023-06-11, 2023,2,Q2,6,June,24,2023-06-11,2023-06-17,1,Sunday,TRUE
20230618, 2023-06-18, 2023,2,Q2,6,June,25,2023-06-18,2023-06-24,1,Sunday,TRUE
20230625, 2023-06-25, 2023,2,Q2,6,June,26,2023-06-25,2023-07-01,1,Sunday,TRUE
20230702, 2023-07-02, 2023,3,Q3,7,July,27,2023-07-02,2023-07-08,1,Sunday,TRUE
20230709, 2023-07-09, 2023,3,Q3,7,July,28,2023-07-09,2023-07-15,1,Sunday,TRUE
20230716, 2023-07-16, 2023,3,Q3,7,July,29,2023-07-16,2023-07-22,1,Sunday,TRUE
20230723, 2023-07-23, 2023,3,Q3,7,July,30,2023-07-23,2023-07-29,1,Sunday,TRUE
20230730, 2023-07-30, 2023,3,Q3,7,July,31,2023-07-30,2023-08-05,1,Sunday,TRUE
20230806, 2023-08-06, 2023,3,Q3,8,August,32,2023-08-06,2023-08-12,1,Sunday,TRUE
20230813, 2023-08-13, 2023,3,Q3,8,August,33,2023-08-13,2023-08-19,1,Sunday,TRUE
20230820, 2023-08-20, 2023,3,Q3,8,August,34,2023-08-20,2023-08-26,1,Sunday,TRUE
20230827, 2023-08-27, 2023,3,Q3,8,August,35,2023-08-27,2023-09-02,1,Sunday,TRUE
20230903, 2023-09-03, 2023,3,Q3,9,September,36,2023-09-03,2023-09-09,1,Sunday,TRUE
20230910, 2023-09-10, 2023,3,Q3,9,September,37,2023-09-10,2023-09-16,1,Sunday,TRUE
20230917, 2023-09-17, 2023,3,Q3,9,September,38,2023-09-17,2023-09-23,1,Sunday,TRUE
20230924, 2023-09-24, 2023,3,Q3,9,September,39,2023-09-24,2023-09-30,1,Sunday,TRUE
20231001, 2023-10-01, 2023,4,Q4,10,October,40,2023-10-01,2023-10-07,1,Sunday,TRUE
20231008, 2023-10-08, 2023,4,Q4,10,October,41,2023-10-08,2023-10-14,1,Sunday,TRUE
20231015, 2023-10-15, 2023,4,Q4,10,October,42,2023-10-15,2023-10-21,1,Sunday,TRUE
20231022, 2023-10-22, 2023,4,Q4,10,October,43,2023-10-22,2023-10-28,1,Sunday,TRUE
20231029, 2023-10-29, 2023,4,Q4,10,October,44,2023-10-29,2023-11-04,1,Sunday,TRUE
20231105, 2023-11-05, 2023,4,Q4,11,November,45,2023-11-05,2023-11-11,1,Sunday,TRUE
20231112, 2023-11-12, 2023,4,Q4,11,November,46,2023-11-12,2023-11-18,1,Sunday,TRUE
20231119, 2023-11-19, 2023,4,Q4,11,November,47,2023-11-19,2023-11-25,1,Sunday,TRUE
20231126, 2023-11-26, 2023,4,Q4,11,November,48,2023-11-26,2023-12-02,1,Sunday,TRUE
20231203, 2023-12-03, 2023,4,Q4,12,December,49,2023-12-03,2023-12-09,1,Sunday,TRUE
20231210, 2023-12-10, 2023,4,Q4,12,December,50,2023-12-10,2023-12-16,1,Sunday,TRUE
20231217, 2023-12-17, 2023,4,Q4,12,December,51,2023-12-17,2023-12-23,1,Sunday,TRUE
20231224, 2023-12-24, 2023,4,Q4,12,December,52,2023-12-24,2023-12-30,1,Sunday,TRUE
20231231, 2023-12-31, 2023,4,Q4,12,December,53,2023-12-31,2024-01-06,1,Sunday,TRUE

